featurename
OriginalFirstOrderSmin
OriginalFirstOrderSmax
OriginalFirstOrderSmean
OriginalFirstOrderSrange
OriginalFirstOrderSstd
OriginalFirstOrderSvar
OriginalFirstOrderSmedian
OriginalFirstOrderSskewness
OriginalFirstOrderSkurtosis
OriginalFirstOrderSentropy
OriginalFirstOrderSrms
OriginalFirstOrderSenergy
OriginalFirstOrderStotalEnergy
OriginalFirstOrderSmeanAbsDev
OriginalFirstOrderSmedianAbsDev
OriginalFirstOrderSP10
OriginalFirstOrderSP90
OriginalFirstOrderSrobustMeanAbsDev
OriginalFirstOrderSrobustMedianAbsDev
OriginalFirstOrderSinterQuartileRange
OriginalFirstOrderScoeffDispersion
OriginalFirstOrderScoeffVariation
OriginalshapeSmajorAxis
OriginalshapeSminorAxis
OriginalshapeSleastAxis
OriginalshapeSflatness
OriginalshapeSelongation
OriginalshapeSmax3dDiameter
OriginalshapeSmax2dDiameterAxialPlane
OriginalshapeSmax2dDiameterSagittalPlane
OriginalshapeSmax2dDiameterCoronalPlane
OriginalshapeSsurfArea
OriginalshapeSvolume
OriginalshapeSfilledVolume
OriginalshapeSCompactness1
OriginalshapeSCompactness2
OriginalshapeSspherDisprop
OriginalshapeSsphericity
OriginalshapeSsurfToVolRatio
OriginalglcmAvgSenergy
OriginalglcmAvgSjointEntropy
OriginalglcmAvgSjointMax
OriginalglcmAvgSjointAvg
OriginalglcmAvgSjointVar
OriginalglcmAvgScontrast
OriginalglcmAvgSinvDiffMom
OriginalglcmAvgSinvDiffMomNorm
OriginalglcmAvgSinvDiff
OriginalglcmAvgSinvDiffNorm
OriginalglcmAvgSinvVar
OriginalglcmAvgSdissimilarity
OriginalglcmAvgSdiffEntropy
OriginalglcmAvgSdiffVar
OriginalglcmAvgSdiffAvg
OriginalglcmAvgSsumAvg
OriginalglcmAvgSsumVar
OriginalglcmAvgSsumEntropy
OriginalglcmAvgScorr
OriginalglcmAvgSclustTendency
OriginalglcmAvgSclustShade
OriginalglcmAvgSclustPromin
OriginalglcmAvgSharalickCorr
OriginalglcmAvgSautoCorr
OriginalglcmAvgSfirstInfCorr
OriginalglcmAvgSsecondInfCorr
OriginalglcmMaxSenergy
OriginalglcmMaxSjointEntropy
OriginalglcmMaxSjointMax
OriginalglcmMaxSjointAvg
OriginalglcmMaxSjointVar
OriginalglcmMaxScontrast
OriginalglcmMaxSinvDiffMom
OriginalglcmMaxSinvDiffMomNorm
OriginalglcmMaxSinvDiff
OriginalglcmMaxSinvDiffNorm
OriginalglcmMaxSinvVar
OriginalglcmMaxSdissimilarity
OriginalglcmMaxSdiffEntropy
OriginalglcmMaxSdiffVar
OriginalglcmMaxSdiffAvg
OriginalglcmMaxSsumAvg
OriginalglcmMaxSsumVar
OriginalglcmMaxSsumEntropy
OriginalglcmMaxScorr
OriginalglcmMaxSclustTendency
OriginalglcmMaxSclustShade
OriginalglcmMaxSclustPromin
OriginalglcmMaxSharalickCorr
OriginalglcmMaxSautoCorr
OriginalglcmMaxSfirstInfCorr
OriginalglcmMaxSsecondInfCorr
OriginalglcmMinSenergy
OriginalglcmMinSjointEntropy
OriginalglcmMinSjointMax
OriginalglcmMinSjointAvg
OriginalglcmMinSjointVar
OriginalglcmMinScontrast
OriginalglcmMinSinvDiffMom
OriginalglcmMinSinvDiffMomNorm
OriginalglcmMinSinvDiff
OriginalglcmMinSinvDiffNorm
OriginalglcmMinSinvVar
OriginalglcmMinSdissimilarity
OriginalglcmMinSdiffEntropy
OriginalglcmMinSdiffVar
OriginalglcmMinSdiffAvg
OriginalglcmMinSsumAvg
OriginalglcmMinSsumVar
OriginalglcmMinSsumEntropy
OriginalglcmMinScorr
OriginalglcmMinSclustTendency
OriginalglcmMinSclustShade
OriginalglcmMinSclustPromin
OriginalglcmMinSharalickCorr
OriginalglcmMinSautoCorr
OriginalglcmMinSfirstInfCorr
OriginalglcmMinSsecondInfCorr
OriginalglcmStdSenergy
OriginalglcmStdSjointEntropy
OriginalglcmStdSjointMax
OriginalglcmStdSjointAvg
OriginalglcmStdSjointVar
OriginalglcmStdScontrast
OriginalglcmStdSinvDiffMom
OriginalglcmStdSinvDiffMomNorm
OriginalglcmStdSinvDiff
OriginalglcmStdSinvDiffNorm
OriginalglcmStdSinvVar
OriginalglcmStdSdissimilarity
OriginalglcmStdSdiffEntropy
OriginalglcmStdSdiffVar
OriginalglcmStdSdiffAvg
OriginalglcmStdSsumAvg
OriginalglcmStdSsumVar
OriginalglcmStdSsumEntropy
OriginalglcmStdScorr
OriginalglcmStdSclustTendency
OriginalglcmStdSclustShade
OriginalglcmStdSclustPromin
OriginalglcmStdSharalickCorr
OriginalglcmStdSautoCorr
OriginalglcmStdSfirstInfCorr
OriginalglcmStdSsecondInfCorr
OriginalglcmMadSenergy
OriginalglcmMadSjointEntropy
OriginalglcmMadSjointMax
OriginalglcmMadSjointAvg
OriginalglcmMadSjointVar
OriginalglcmMadScontrast
OriginalglcmMadSinvDiffMom
OriginalglcmMadSinvDiffMomNorm
OriginalglcmMadSinvDiff
OriginalglcmMadSinvDiffNorm
OriginalglcmMadSinvVar
OriginalglcmMadSdissimilarity
OriginalglcmMadSdiffEntropy
OriginalglcmMadSdiffVar
OriginalglcmMadSdiffAvg
OriginalglcmMadSsumAvg
OriginalglcmMadSsumVar
OriginalglcmMadSsumEntropy
OriginalglcmMadScorr
OriginalglcmMadSclustTendency
OriginalglcmMadSclustShade
OriginalglcmMadSclustPromin
OriginalglcmMadSharalickCorr
OriginalglcmMadSautoCorr
OriginalglcmMadSfirstInfCorr
OriginalglcmMadSsecondInfCorr
OriginalrlmAvgSgln
OriginalrlmAvgSglnNorm
OriginalrlmAvgSglv
OriginalrlmAvgShglre
OriginalrlmAvgSlglre
OriginalrlmAvgSlre
OriginalrlmAvgSlrhgle
OriginalrlmAvgSlrlgle
OriginalrlmAvgSre
OriginalrlmAvgSrln
OriginalrlmAvgSrlnNorm
OriginalrlmAvgSrlv
OriginalrlmAvgSrp
OriginalrlmAvgSsre
OriginalrlmAvgSsrhgle
OriginalrlmAvgSsrlgle
OriginalrlmMaxSgln
OriginalrlmMaxSglnNorm
OriginalrlmMaxSglv
OriginalrlmMaxShglre
OriginalrlmMaxSlglre
OriginalrlmMaxSlre
OriginalrlmMaxSlrhgle
OriginalrlmMaxSlrlgle
OriginalrlmMaxSre
OriginalrlmMaxSrln
OriginalrlmMaxSrlnNorm
OriginalrlmMaxSrlv
OriginalrlmMaxSrp
OriginalrlmMaxSsre
OriginalrlmMaxSsrhgle
OriginalrlmMaxSsrlgle
OriginalrlmMinSgln
OriginalrlmMinSglnNorm
OriginalrlmMinSglv
OriginalrlmMinShglre
OriginalrlmMinSlglre
OriginalrlmMinSlre
OriginalrlmMinSlrhgle
OriginalrlmMinSlrlgle
OriginalrlmMinSre
OriginalrlmMinSrln
OriginalrlmMinSrlnNorm
OriginalrlmMinSrlv
OriginalrlmMinSrp
OriginalrlmMinSsre
OriginalrlmMinSsrhgle
OriginalrlmMinSsrlgle
OriginalrlmStdSgln
OriginalrlmStdSglnNorm
OriginalrlmStdSglv
OriginalrlmStdShglre
OriginalrlmStdSlglre
OriginalrlmStdSlre
OriginalrlmStdSlrhgle
OriginalrlmStdSlrlgle
OriginalrlmStdSre
OriginalrlmStdSrln
OriginalrlmStdSrlnNorm
OriginalrlmStdSrlv
OriginalrlmStdSrp
OriginalrlmStdSsre
OriginalrlmStdSsrhgle
OriginalrlmStdSsrlgle
OriginalrlmMadSgln
OriginalrlmMadSglnNorm
OriginalrlmMadSglv
OriginalrlmMadShglre
OriginalrlmMadSlglre
OriginalrlmMadSlre
OriginalrlmMadSlrhgle
OriginalrlmMadSlrlgle
OriginalrlmMadSre
OriginalrlmMadSrln
OriginalrlmMadSrlnNorm
OriginalrlmMadSrlv
OriginalrlmMadSrp
OriginalrlmMadSsre
OriginalrlmMadSsrhgle
OriginalrlmMadSsrlgle
OriginalngtdmScoarseness
OriginalngtdmScontrast
OriginalngtdmSbusyness
OriginalngtdmScomplexity
OriginalngtdmSstrength
OriginalngldmSlde
OriginalngldmShde
OriginalngldmSlgce
OriginalngldmShgce
OriginalngldmSldlge
OriginalngldmSldhge
OriginalngldmShdlge
OriginalngldmShdhge
OriginalngldmSgln
OriginalngldmSglnNorm
OriginalngldmSdcn
OriginalngldmSdcnNorm
OriginalngldmSdcp
OriginalngldmSglv
OriginalngldmSdcv
OriginalngldmSentropy
OriginalngldmSenergy
OriginalszmSsae
OriginalszmSlae
OriginalszmSgln
OriginalszmSglnNorm
OriginalszmSszn
OriginalszmSsznNorm
OriginalszmSzp
OriginalszmSlglze
OriginalszmShglze
OriginalszmSsalgle
OriginalszmSsahgle
OriginalszmSlalgle
OriginalszmSlahgle
OriginalszmSglv
OriginalszmSszv
OriginalszmSze
OriginalivhSmeanHist
OriginalivhSmaxHist
OriginalivhSminHist
OriginalivhSI50
OriginalivhSrangeHist
OriginalivhSVx0
OriginalivhSVx10
OriginalivhSVx20
OriginalivhSVx50
OriginalivhSVx80
OriginalivhSVx90
OriginalivhSVx95
WaveletsHHHFirstOrderSmin
WaveletsHHHFirstOrderSmax
WaveletsHHHFirstOrderSmean
WaveletsHHHFirstOrderSrange
WaveletsHHHFirstOrderSstd
WaveletsHHHFirstOrderSvar
WaveletsHHHFirstOrderSmedian
WaveletsHHHFirstOrderSskewness
WaveletsHHHFirstOrderSkurtosis
WaveletsHHHFirstOrderSentropy
WaveletsHHHFirstOrderSrms
